Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","7.39","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2735","Viande, Autre","2017","2017","g/personne/jour","1.18","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2736","Abats Comestible","2017","2017","g/personne/jour","0.56","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2731","Viande de Bovins","2017","2017","g/personne/jour","2.04","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2732","Viande d'Ovins/Caprins","2017","2017","g/personne/jour","0.34","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2733","Viande de porcins","2017","2017","g/personne/jour","2.34","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","3.63","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2735","Viande, Autre","2017","2017","g/personne/jour","0.17","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2736","Abats Comestible","2017","2017","g/personne/jour","0.88","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2731","Viande de Bovins","2017","2017","g/personne/jour","4.1","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2732","Viande d'Ovins/Caprins","2017","2017","g/personne/jour","0.61","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2733","Viande de porcins","2017","2017","g/personne/jour","3.14","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","18.75","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2735","Viande, Autre","2017","2017","g/personne/jour","0.29","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2736","Abats Comestible","2017","2017","g/personne/jour","1.36","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2731","Viande de Bovins","2017","2017","g/personne/jour","2.04","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2732","Viande d'Ovins/Caprins","2017","2017","g/personne/jour","1.89","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","13.62","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2735","Viande, Autre","2017","2017","g/personne/jour","0.48","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2736","Abats Comestible","2017","2017","g/personne/jour","0.57","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","2731","Viande de Bovins","2017","2017","g/personne/jour","25.44","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","2732","Viande d'Ovins/Caprins","2017","2017","g/personne/jour","0.45","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","2733","Viande de porcins","2017","2017","g/personne/jour","4.17","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","14.31","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","2735","Viande, Autre","2017","2017","g/personne/jour","0.53","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","2736","Abats Comestible","2017","2017","g/personne/jour","2.85","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","2731","Viande de Bovins","2017","2017","g/personne/jour","7.28","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","2732","Viande d'Ovins/Caprins","2017","2017","g/personne/jour","1.09","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","2733","Viande de porcins","2017","2017","g/personne/jour","1.85","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","5.21","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","2735","Viande, Autre","2017","2017","g/personne/jour","0.03","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","1","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","2736","Abats Comestible","2017","2017","g/personne/jour","2.9","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2731","Viande de Bovins","2017","2017","g/personne/jour","10.76","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2732","Viande d'Ovins/Caprins","2017","2017","g/personne/jour","3.4","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2733","Viande de porcins","2017","2017","g/personne/jour","6.02","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","17.61","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2735","Viande, Autre","2017","2017","g/personne/jour","0.4","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2736","Abats Comestible","2017","2017","g/personne/jour","4.15","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2731","Viande de Bovins","2017","2017","g/personne/jour","6.22","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2732","Viande d'Ovins/Caprins","2017","2017","g/personne/jour","0.39","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2733","Viande de porcins","2017","2017","g/personne/jour","14","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","7.49","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2735","Viande, Autre","2017","2017","g/personne/jour","0.53","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2736","Abats Comestible","2017","2017","g/personne/jour","1.11","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2731","Viande de Bovins","2017","2017","g/personne/jour","5.09","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2732","Viande d'Ovins/Caprins","2017","2017","g/personne/jour","2.87","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2733","Viande de porcins","2017","2017","g/personne/jour","0.17","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2734","Viande de Volailles","2017","2017","g/personne/jour","4.45","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2735","Viande, Autre","2017","2017","g/personne/jour","0","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2736","Abats Comestible","2017","2017","g/personne/jour","1.15","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","674","Disponibilité de protéines en quantité (g/personne/jour)","2731","Viande de Bovins","2017","2017","g/personne/jour","3.2","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","674","Disponibilité de protéines en quantité (g/personne/jour)","2732","Viande d'Ovins/Caprins","2017","2017","g/personne/jour","1.11","Fc","Donnée calculée"
